scientific_name_plants,n_registros
NA,24
Mimulus luteus,10
Mimulus cupreus,4
Schizanthus hookeri,4
Viola portalesia,4
Chuquiraga oppositifolia,3
Trifolium pratense,3
Chloraea bletioides,2
Cirsium vulgare,2
Colletia ulicina,2
Echium vulgare,2
Embothrium coccineum,2
Eucryphia cordifolia,2
Luma apiculata,2
Myrceugenia ovata,2
Senecio bustillosianus,2
Solanum lycopersicum,2
Stachys albicaulis,2
Acacia dealbata,1
Adesmia bijuga,1
Alstroemeria exerens,1
Amomyrtus luma,1
Amomyrtus meli,1
Antirrhinum ,1
Aristotelia chilensis,1
Asteranthera ovata,1
Berberis buxifolia,1
Berberis darwinii,1
Bomarea salsilla,1
Caiophora coronata,1
Caldcluvia paniculata,1
Carduus pycnocephalus,1
Cerastium arvense,1
Chloraea crispa,1
Cucurbita maxima,1
Cytisus striatus,1
Dahlia ,1
Daucus carota,1
Digitalis purpurea,1
Eryngium paniculatum,1
Erythranthe naiandina,1
Escallonia myrtoidea,1
Fuchsia magellanica,1
Gaultheria phillyreifolia,1
Haplopappus anthylloides,1
Hydrangea serratifolia,1
Lapageria rosea,1
Lavandula angustifolia,1
Lavatera arborea,1
Loasa caespitosa,1
Loasa heterophylla,1
Lotus uliginosus,1
Lupinus arboreus,1
Lupinus luteus,1
Luzuriaga polyphylla,1
Luzuriaga radicans,1
Madia sativa,1
Mentha pulegium,1
Mitraria coccinea,1
Mutisia sinuata,1
Myrceugenia parvifolia,1
Myrceugenia planipes,1
Nassauvia pyramidalis,1
Ovidia andina,1
Oxalis ,1
Phacelia secunda,1
Phaseolus vulgaris,1
Pisum sativum,1
Raphanus sativus,1
Rhaphithamnus spinosus,1
Rhododendron ,1
Rosa rubiginosa,1
Rubus idaeus,1
Rubus ulmifolius,1
Senecio ,1
Senecio erucaeformis,1
Sophora microphylla,1
Tepualia stipularis,1
Trifolium striatum,1
Ugni candollei,1
Ugni molinae,1
Ulex europaeus,1
Vaccinium corymbosum,1
Vaccinium macrocarpon,1
Vicia faba,1
Vicia sativa,1
Viola arvensis,1
